# Glossary in tab-separated format -*- coding: utf-8 -*-
mould	鋳型	工作のスキルでなにかの金属棒から特定の物を作りたい時に使ってるアイテムの訳
bolts	ボルト	武器系
apron	エプロン	アイテム名で使用
cape	マント	アイテム名で使用
plank	板	建築に使うplankは板で統一
ammo	ボルト	ボルトもしくは矢を刺すこともある
ammo	大砲弾	dwafcannonが放つ弾
candle	ロウソク	カタカナで表記、「蝋燭」はどっちも常用漢字だけではないのでダメ
adamant	アダマント	マイニングのレベルが高くなると採掘することができるかなり強い金属棒の訳
adamantite	アダマンタイト	アダマントを作るための鉱石の名前
jangerberries	ジャンガベリー	ベリーの種類
magic	魔法樹	レベル７５になると切ることができる木の種類の訳、しかも時間がめっちゃ掛かります
redwood	セコイア	レベル90で切れる木、OSRSオリジナル
baxtorian	バクストリアン
urn	壺
Ethenea	エテネア
Lathas	ラサス	東アルドインの王の名前
Karamjan	カラムジャの
tin	スズ	採掘系
dragon	竜	NPC名
babydragon	幼竜	「ようりゅう」小さい竜
Monk	僧侶	茶色いローブをまとうNPC、大体坊主
Newcomer	初心者
rune	ルーン	魔法に使用する丸い石
wizard	魔法使い
robe	ローブ	robe topは「ローブ上」、robe bottom は「ローブ下」
Rashiliyia	ラシリーア	NPC名
Zadimus	ザジマス	NPC名
leather	革	動物や竜から手に入れられる資材のこと
vambrace	腕甲	（わんこう）
Paramaya	パラヤマ	Parayama ticket で登場
pommel	柄頭	読み：つかがしら
Bervirius	ベルビリウス
Wampum	ワムパム
Turquoise	トルコ石色
green d'hide	緑竜革	緑竜から手に入れられる素材 （りょくりゅうかく)
green dragon	緑竜	（りょくりゅう）
blue dragon	青竜	（せいりゅう）
red dragon	赤竜	（せきりゅう）
black dragon	黒竜	（こくりゅう）
king black dragon	黒竜王	（こくりゅうおう）
chaps	チャップス	弓系の足防具
body	ボディ	弓系の胸の防具
Trowel	こて	採掘現場などで使われる工具
hardleather	硬革	硬い革、弓系防具の材料として使われている
Nugget	一塊	貴金属の塊
talisman	タリスマン	air talismanなどに使われる単語
cowl	頭巾	弓系防具名
shield	盾	アイテム名でしよう
Arcenia	アルセニア
sq shield	角盾	（かくたて）
black	黒鉄	結構弱い武器や防具の材料
Radimus	ラジマス
kiteshield	タコ盾	盾の一類
reed	アシ
Hollow	空洞
tome	書、書物、本	tome of water 等のtome
dagger	短剣	短い剣
Holy	聖なる
Yommi	ヨミー
Snakeweed	スネーク草
Ardrigal	アードリガル
Dark	暗黒	アイテム名に使われるときは「暗黒」と訳す
Gilded	金色
Cadava	カダバ
Phoenix	フェニックス	varrock の暗部組織名
hq	本部	head quaters の略の場合
Certificate	証明書
cloak	マント
Gauntlet	籠手	金属なら籠手。Corrupted Gauntletは別途検討
Gauntlet	手袋	布なら手袋。Corrupted Gauntletは別途検討
Hazelmere	ヘイゼルミア	NPC名
scroll	巻物
Daconia	ダコニア
barb	トゲのある	アイテム名で使用
barbed	トゲのある	アイテム名で使用
skull	ドクロ	Wildernessで頭上に表示されるSkullの訳。
skull	頭蓋骨	普通の文章のSkullの訳。Wildernessで頭上に表示されるSkullの訳はスカル。
fur	毛皮
Brass	黄銅	金属の種類、真鍮は常用でないため避ける
Crystal	水晶
studded	トゲ付き	トゲのある弓系の防具名で使用
(p)	（毒）	毒が付与された武器名に付けられる
Tutorial	チュートリアル
minigame	ミニゲーム
Rellekka	レレカ	地名
Neitiznot	ネイチズノット
Jatizso	ジャチゾ
fire cape	ファイアーケープ	アイテム名
Pirate	海賊
Cove	隠れ家
Miscellania	ミセラニア	地名
Decant	移し替える
Coffer	前払い金	有料サービスにかかるお金を事前に多めに払ったときの金額
Waterbirth	ウオーターバース	地名
Log	丸太	oak logs 等のアイテム名に使われる
PvP	PvP	これはそのままでOK
maze	迷路
Maxhit	最高ヒット
Variant	種類	だいたいこれでいい。もしくは変異種等場合によってはあり
count	数	例：kill count ならキル数
count	数える	動詞の場合
Canyon	峡谷
Watermill	水車
Port Sarim	サリム港	地名
Port Piscarilius	ピスカリリウス港	地名
Port Phasmatys	ファズマティス港	地名
Port Khazard	カザード港	地名
Bar	延べ棒	金属の塊。bronze bar は「銅の延べ棒」と訳される。読みは「のべぼう」
Toggle	切り替え
Redeem	引き換え
Fossil	化石
Pet Rock	ペットの石	Fremenik の子供からもらえるペットの石
Spirit tree	精霊樹	木の名前、テレポートに使われる
Swap	入れ替える
Celastrus	セラストラス	木の名前。celastrus tree = セラストラスの木
Land's End	ランズ・エンド	地名
Castle Wars	キャッスル・ウォーズ	アクティビティ名
holiday item	イベントアイテム
Tan	なす	革を加工できる状態にする作業。NPCにやってもらうか魔法で行う必要がある
Brimhaven	ブリムヘブン	地名
Rimmington	リミングトン	地名
exoskeleton	外骨格
Adventure Paths	冒険の旅路	ゲームをどう進めればいいか分からないときに見るガイド的なやつ
Island of Stone	ストーン島	地名
Charter	契約	charter a shipで使われるときの訳。
Catherby	カサビー	地名
Charter-to	まで契約
Mos Le'Harmless	モス・レ・ハムレス	地名
Musa Point	ムサ・ポイント	地名
Shipyard	造船所	地名
Corsair	私掠船	読み：しりゃくせん
Prifddinas	プリフディナス	地名
Port Tyras	チラス港	地名
Tyras	チラス	地名（？）
Charge	チャージ	エネルギーを貯めるという意味ならこれ
Convert	変換
shard	破片
Loot	戦利品
Loot	収集
Loot	拾う
Ungael	アンガエル	地名
Ta Quir Priw	タ・キ・プリウ	グライダー先の地名
Glider-to	グライダーで移動
Gandius	ガンジウス	グライダー先の地名
Kar-Hewo	カーヘオ	グライダー先の地名
Lemanto Andra	レマント・アンドラ	グライダー先の地名
Sindarpos	シンダーポス	グライダー先の地名
Ookookolly Undri	ウークーコリ・ウンドリ	グライダー先の地名
Lemantolly Undri	レマントリ・ウンドリ	グライダー先の地名
sphere	球体
costume	衣装
Emote	エモート	踊ったりする動作のこと
prune	せん定	余分な葉や枝を切ること。漢字で書くと剪定
Civitas illa Fortis	シビリタス・イラ・フォーチス	地名
Aldarin	アルダリン	地名
Sunset Coast	サンセット・コースト	地名
Tempestus	テンペスタス	地名
wave	ウェーブ	敵の波の場合の訳
Rumour	ルーマー	ハンターギルドのポイントの訳
Recharge	チャージ	エネルギー等を溜めなおすこと
Private	専用	private instance の文脈で使われるときの訳。private instance = 専用インスタンス
instance	インスタンス	private instance の意味で使われるときの訳。private instance = 専用インスタンス
Smelt	溶解
Smith	鍛える	金属を加工することを意味するsmith の訳
Pan	フルイ	泥を落とす作業のことを指す場合の訳
Prospect	探る	岩に含まれる物を考えること（tin rock などで）
Ring	鈴	鈴という意味もある
dragon	竜鉄	伝説の強い物質
spear	槍	melee系、両手の武器
sword	剣	melee系、片手の武器
longsword	長剣	melee系、片手の武器、普通の剣より長い
2h sword	両手剣	melee系、両手の武器
scimitar	三日月刀	melee系、片手の武器、剣のなかに毎秒のダメージが一番高い剣
warhammer	戦鎚	「せんつい」、melee系、片手の武器
battleaxe	戦斧	「せんぷ」melee系、片手の武器
air	大気	ルーンの一種
water	水	ルーンの一種
earth	土	ルーンの一種
fire	火	ルーンの一種
battlestaff	戦杖	魔法系の武器
mystic	秘伝の	だいたい魔法で使われている
halberd	矛槍	「ほこやり」、melee系、両手の武器
scythe	大鎌	「おおがま」melee系、両手の武器
mace	鎚矛	「つちほこ」melee系、片手の武器
rune essence	ルーンの素	ルーンの素材
spade	シャベル	地面を掘る道具、長いやつ
Rake	かく	Farming patchを整える意味。漢字表記は「掻く」
spine	トゲ	サボテン(cactus)の場合の訳
fruit	果実	無理に統一する必要は無いが、不自然でなければこれにしておく
Stats	ステータス
spellbook	魔導書
Standard spellbook	一般魔法の書	一般魔法の魔導書
Ancient spellbook	古代魔法の書	古代魔法の魔導書
Lunar spellbook	ルーナ魔法の書	ルーナ魔法の魔導書
Lunar	ルーナ	lunar clan などのlunar の訳
Arceuus spellbook	アルセウス魔法の書	アルセウス魔法の魔導書
Arceuus	アルセウス	地名やarceuus spellのarceuusの訳
Edgeville	エッジビル	地名
sigil	紋章	魔法がかかっていない場合
sigil	魔法印	魔法がかかっている場合の訳
Zanaris	ザナリス	地名
Draynor Village	ドレイナー村	地名
Draynor	ドレイナー
Al Kharid	アル・カリッド	地名
kettle	ヤカン	名詞
portal	ポータル	多分これしかないｗ
Challenge mode	チャレンジモード
vine	ツル	植物
Burgh	バーグ	地名の一部
Driftwood	流木	読み：りゅうぼく
Teleport	ワープ	短いからこれで行きましょう
Destination	目的地
Beam	ハリ	建築素材のこと
Rope	ロープ	縄だと漢字がつぶれてしまう可能性があるのので避けた。３文字なら何とかなりそうだし
Friend	フレンド	友達の「達」がつぶれそうだからカタカナにする。英語がかっこいいイメージあるらしいしｗ
Rum	ラム酒
Ecto	エクトー
Crackers	クラッカー	Barbarian Assaultのクラッカーの場合。それ以外でもこれかもしれないけど
Tofu	豆腐	日本語だ！
Worm	虫	Barbarian AssaultのWormの訳。他でもこれかもしれない
Spike	トゲ
Paterdomus	パタードマス	地名
Kudos	クード	varroc museum のポイント
raft	イカダ
Weiss	ウェイス	地名
XP	XP	経験値のことだが、短いし伝わるはずだからそのまま
Bind	魔力封入	魔法をかける意味の場合の訳。Enchantは魔力付与なので少し変えた
Jar	瓶	Vialは試薬瓶
Perk	特性
hammer	ハンマー	武器もSmithingに使うやつもこれ
tinderbox	火口箱	よみは「ほくちばこ」
concoction	混合物
vial	試薬瓶	調合系のやつ
fairy ring	妖精の輪
Seed Dibber	種まき器	アイテム名
Ancient	古代
Lunar	ルーナ
jewellery	宝石
Varrock	バロック	地名
Grand Exchange	グランド・エクスチェンジ	GE!
Camelot	カメロット	地名
Seers' Village	シアーズ村	地名
Watchtower	監視塔	地名
Yanille	ヤニル	地名
Iceberg	氷山
Lumbridge	ランブリッジ	地名
Senntisten	センチステン
Marim	マリム	地名
Kharyrll	カリール	地名
Great Kourend	グレート・クーレンド	地名
Kourend	クーレンド
Guild	ギルド
Annakarl	アナカール	地名
Stronghold	要塞
Troll	トロール
Look out	見張り所	地名
Inferno	インフェルノ
Digsite	発掘現場
Fossil Island	化石の島	地名
Lithkren	リスクレン	地名
Ghorrock	ゴロック	地名
Carrallanger	カラランガー	地名
jug	水差し	アイテム名
Cleanse	浄化
dragonfruit	ドラゴンフルーツ	アイテム名
corrupted	変異した
Refine	精製
imbue	付与
PvP Arena	PvPアリーナ
Ferox Enclave	フェロックス・オンクレーブ	地名
Burthorpe	バーソープ	地名
Barbarian	蛮族	読み：ばんぞく
outpost	前哨基地	読み：ぜんしょうきち
Corporeal	コーポリアル
Corporeal Beast	コーポリアル獣	モンスター名
Guthix	ガシックス	神の名前
Tears of Guthix	ガシックスの涙	ゲーム名
Wintertodt	ウィンタートッド	ゲーム名
Warriors' Guild	戦士ギルド
Champions' Guild	チャンピオン・ギルド
Monastery	修道院
Dondakan	ドンダカン
Manor	邸宅	draynor manor等にでる
Battlefront	戦線	地名
Altar	祭壇
Salve	サルヴ
Graveyard	墓地
Fenkenstrain	フェンケンストレイン
Harmony Island	ハーモニー島	地名
Cemetery	セメトリー	地名の場合の訳
Barrows	バロウズ
Ape Atoll	エイプ・アトール	地名
Asgarnia	アスガニア
Misthalin	ミスサリン	地名
Kandarin	カンダリン
Fremennik	フレメニック
Kharidian	カリジアの
Kharidian Desert	カリジア砂漠
Morytania	モリタニア
Tirannwn	ティランワン
Wilderness	ウィルダネス
fragment	欠片
banner	バナー
League	リーグ
Arceuus Library	アルセウス図書館
cell	セル
gp	ｇｐ	コインのこと
Rank	ランク
permission	権限
Fee	料金
bee	ハチ
mulch	根おおい
Awakened	覚醒	多分ボスの難易度
barricade	バリケード
Channel	転換	何かを合わせるなど、動詞の場合
Fortis	フォーティス
Colosseum	闘技場
glory	栄光	Fortis　Colosseumのgloryの訳
Bowl	ボール
cocktail	カクテル
Tin	缶	食べ物を入れるやつ
respawn	リスポーン
lid	フタ
Partner	ペア
Log	ログ
Lletya	レティア	地名
Uncharge	チャージ解除	chargeしていたものを全てなくすことを無理やり一言で表現
Mind	心
Stamina	スタミナ
POH	家	単純に！
Otto	オットー	NPC名
Grotto	洞穴	読み：どうけつ
Trim	縁取る	動詞の場合。読みは「ふちどる」
Trim	縁	名詞の場合。
controlled	バランス	攻撃スタイルの種類
accurate	正確	攻撃スタイルの一種
aggressive	強引	攻撃スタイルの一つ
Gem Mine	宝石採掘所	場所名
Impling	子悪魔	NPC名、小悪魔ではないので注意
Butterfly	チョウ	漢字ではなくカタカナで
Spawn	蘇生
Duradel	ヅラデル	NPC名
Battlefront	戦線
prayer	祈力	Prayer pointを指す造語。読み：きりょく
run energy	走力
Farm	農場
Alchemy	錬金術	魔法
Nardah	ナーダ	地名
Kalphite	カルファイト	NPC名
cave	洞窟
Recoil	反射	ring of recoilなどのrecoilの訳
Elite	超級	Clue Scrollの難易度のeliteの訳
Master	達人	Clue Scrollの難易度
Beginner	入門	Clue Scrollの難易度
Medium	中級	Clue Scrollの難易度
Hard	上級	Clue Scrollの難易度
Ver Sinhaza	ベー・シンハザ	地名
Darkmeyer	ダーク・メヤー	地名
Slepe	スレペ	地名
Woodland	林地
Karuulm	カルールム	地名
Mount Karuulm	カルールム山	地名
Trollheim	トロールハイム	地名
Mor Ul Rek	モー・ウル・レク	地名
Attune	調和
Unattune	不調和
kit	キット	ornament kit などの訳
Unimbue	魔法解除
Nexus	ネクサス
Note	紙	名詞のbank noteを指す場合の訳
Note	紙化	bank noteに変換する意味の動詞の場合
Un-note	実体化	bank note から実際のアイテムに変換すること
outfit	衣装
Prayerbook	祈りの書
Mage	魔術師
Vulcan	バルカン	NPC名
spider	クモ	カタカナで書きます、漢字はつぶれるのでNG
Baby	幼	「幼」はBaby red dragonなどのBabyの訳
Tok-	トク・	Tzhaarのモンスター名の場合。「-」（ダッシュ）は「・」と書く
Jester	道化師
Guide	案内人	NPC名に付く場合の訳
Ironman	鉄人
tutor	指導者	NPC名に付く場合の訳
Fishing spot	釣り場
Rod	竿
Wyvern	ワイバーン
Skeletal	骨	skeletal wyvern 等NPCの形容詞の場合
devil	デビル
druid	ドルイド
warrior	戦士
Evil	邪悪
spirit	精霊
guard	衛兵
Goblin	ゴブリン
General	将軍
skeleton	スケレトン
Giant	巨大な
Adventurer	冒険家
Baby	幼い	「幼い」は「幼」だと違和感がある場合は
Ethereal	優美な
Being	生命体
Scarab	スカラベ
Locust	バッタ
Duke	公爵	階級。読み：こうしゃく
Instructor	講師
Commander	司令官
Ogre	オーガ
Father	神父	教会の人の場合
golem	ゴーレム
Dagannoth	ダガノス
Bandit	盗賊
Fairy	妖精
Queen	女王
Entrana	エントラナ	地名
Chicken	ニワトリ	カタカナで書きましょう
Cultist	信者
amulet	アミュレット	色んなボーナスをあげることが多いアイテム
Scorpion	サソリ
Gnome	ノーム
Creature	生物
Old Man	おじいさん
oak	樫	レベル１５になると切ることができる木の種類の訳
Monster	化け物
Lord	様
snake weed	スネイク草	なんかのクエストで使われているハーブ
sito foil	シトフォイル	あるクエストで使われているハーブ
Ghost	幽霊
Shade	陰
Shadow	影
volencia moss	バレニカ藻
rogue's purse	ローグの財布
nails	釘	建築で使用
Mort'ton	モートン	地名
Makeover	改装
Seagull	カモメ
kebbit	ケビット	動物名
Prickly	トゲトゲの
Sabre-toothed	剣歯
Barb-tailed	とげ尾
gang	ギャング
gang member	ギャングの組員
Brother	修道士
Roald	ロアルド
ninja monkey	忍者ザル
Toad	アマガエル
expert	専門家
hero	ヒーロー
warlord	将軍
thug	凶漢
Forester	森林官
guardian	守護者
High Priest	教皇
High Priestess	女教皇
Priestess	巫女
Major	少佐
Private	二等兵
Sergeant	軍曹
Blighted	荒廃
Wretched	悲惨な
Infested	蔓延した
Tainted	腐敗した
Crypt	地下
Void Knight	ヴォイド・ナイト
Novice	未熟
shopkeeper	店主
Cosmic	宇宙の
Dryad	ドライアド
Sir	サー
Barge	荷船	名詞の場合
foreman	現場監督
Miner	鉱夫
elemental	エレメンタル
giant	巨人
Undead	アンデッド
TzHaar	ツザー
TzHaar-	ツザー・
Tz-	ツズ・
Saradomin	サラドミン
ranger	レンジャー
Knight	騎士
Director	監督
keeper	店主
Keeper	主人
Colonel	大佐
shaman	シャーマン
emissary	使者
Boatman	船頭
Armour	鎧
Animated	動く
Minotaur	ミノタウロス
H.A.M.	H.A.M.
Captain	隊長
Captain	船長	船の長の場合
Captain	機長	飛行機やグライダーの操縦士の場合
Ambassador	大使
Professor	先生
Abbot	僧院長
Abyssal	深淵の
walker	彷徨うモノ
Myre	マイヤー
Blamish	ブラミシュ
Ochre	黄土色
Dungeon	ダンジョン
salamander	サラマンダ
kyatt	カイヤット
larupia	ラルピア
graahk	グラーク
Chinchompa	チンチョンパ
Brutal	残酷な
Blast Furnace	ブラスト・ファーネス
Nail	爪
unholy	けがれ	アイテム名でしよう
diamond	ダイヤ	宝石名
ruby	ルビー	宝石名
emerald	エメラルド	宝石名
sapphire	サファイア	宝石名
opal	オパール	宝石名
jade	ヒスイ	宝石名
red topaz	赤トパーズ	宝石名
dragonstone	竜石	宝石名
soul	魂
sailor	船乗り
Sawmill	製材所
Imp	小悪魔
Vampyre	吸血鬼
Rogue	ローグ
Spice	香辛料
seller	販売人
Silk	絹
Melee	近接
Gielinor	ギレノー
Quest	クエスト
Champion	チャンピオン
Ghoul	グール
Surgeon	外科医
Hobgoblin	ホブゴブリン
Jogre	ジョーガ
uncut	原石	アイテム名でしよう
Iorwerth	イオワース
Archer	アーチャー
wisp	ウィスプ
Lesarkus	レサークス
Count	伯爵
Scout	スカウト	名詞の場合の訳
Blackjack	棍棒
Menaphite	メナファイト
Villager	村人
Effigy	エフィジー
Alchemist	錬金術師
Seaman	船員
Lumberjack	木こり
Prince	王子
Meiyerditch	メイヤーディッチ
citizen	市民
Shadowy	謎めいた
figure	存在	人間以外の場合、人間なら「人物」も可
Sirsalis	シルサリス	月面のクレータの名前らしい
Cabin boy	キャビンボーイ
unstrung	紐無し	アイテム名でしよう
unblessed	未祝福	アイテム名でしよう
symbol	シンボル	ジュエリー系
emblem	エンブレム	ジュエリー系
woad leaf	ウォード葉	ハーブ系
Sophanem	ソファネム
Merchant	商人
Huntsman	狩人
Legend	伝説
Tormented	苦悩の
Farmer	農民
Witch	魔女
Maiden	乙女
Peasant	百姓
Crone	老婦人
Titan	巨人
Sinister	不吉な
Outlaw	ならず者
Apparition	幻影
Possesed	取りつかれた
Possessed	取りつかれた
Sinclair	シンクレア
Guard dog	番犬
Chancellor	総長
Guard	警備員
chieftain	族長
City	都市
skavid	スカヴィド
Enclave	エンクレーブ
trader	商人
Ivan	アイヴァン
Brine	塩水
Mercenary	傭兵
Bedabin	ベダビン
Nomad	遊牧民
Shantay	シャンティー
Glouphrie	グルフリー
Mine cart	トロッコ
Rowdy	乱暴な
Elder	長老
Carter	御者
Mayor	市長
Custodian	保管人
Witchaven	ウィッチヘブン
Mogre	モーガ
farming patch	農地
goutweed	グート草
Burrow	巣穴
Ferryman	渡し守
trooper	騎兵
Hellhound	ヘルハウンド
Curator	館長
Kharid	カリッド
Elf	エルフ
Observatory	天文台
Spirit	魂
Advisor	顧問
herb	薬草
Lesser	下位の
Fanatic	狂信者
Flax	亜麻
wagtail	ワグテイル
swift	スウィフト	鳥の場合
Crimson	深紅	色の場合
Tropical	熱帯
Cerulean	紺碧
Enraged	激怒
Berserk	狂暴な
Ferocious	残忍な
Wily	ずる賢い
Overgrown	老いた	ネコのことの場合
Tanner	タンナー
Spawn	腹子	小さな生物のこと
Skullball	スカルボール
Justiciar	司法高官
Telekinetic	念力
Charmed	魅了された
Secretary	秘書
display	展示
traveller	旅人
Ranging Guild	弓ギルド
trainer	トレーナー
banker	銀行員
Lieutenant	中尉
Prospector	探鉱者
Armadylean	アーマディルの
Bandosian	バンドスの
Bandos	バンドス
Sister	修道女	教会の人の場合
Lava	溶岩
Greater	上位
archaeologist	考古学者
Chaotic	無秩序な
Maniacal	狂気
Nurse	ナース
tier	lvl
Reanimated	復活した
bloodveld	ブラッドヴェルド
aviansie	アヴィアンシー
supervisor	監視者
Boulder	巨石
Twisted	歪んだ
Banshee	バンシー
Mutated	変異した
Brassican	アブラナ属の
Rift	裂け目
Navigator	ナビゲーター
Monstrous	極悪な
Combat dummy	戦闘サンドバッグ
Varlamore	ヴァーラモー
Vanguard	前衛
(enraged)	（怒）
Swamp	沼
Ancestral	祖先の
Foe	敵
Zygomite	ジゴマイト
Tar	タール
Deranged	錯乱した
Hosidius	ホシディアス
Artur	アルテゥル
Piscarilius	ピスカリリウス
Revenant	幽鬼
Zombified	ゾンビ化した
Sugadinti	スガジンチ
Odd	奇妙な
Hydra	ヒドラ
Angler	釣り師
Lovakengj	ロヴァケイン
Shayzien	シャイゼン
Ornate	華麗な
Third Age	第３紀
Tracker	追跡者
Elven	エルフの
Mourner	哀悼者
Rebel	反乱者
Trahaearn	トラハアーン
Amlodd	アームロッド
Crwys	クルウィス
Hermit	隠者
Hefin	ヘフィン
Meilyr	メイリー
Ithell	イセル
Whirlwind	旋風
Iban	アイバン
Crystalline	結晶の
Hunllef	ハンレフ
Cadarn	カダーン
Sentinel	歩哨
Basilisk	バジリスク
Crewmember	搭乗員
Archpriest	大司祭
Acolyte	侍祭
Avatar	化身
First Mate	一等航海士
Cannoneer	砲兵
Spirit Angler	精霊のアングラー
Body	体	ルーンの種類の場合
Councillor	評議員
Phantom	ファントム
Commissioner	コミショナー
Tamer	調教師
Nylocas	ニロカス
Group Storage	グループ保管庫
Group Ironman	鉄人グループ
Sage	賢者
catalytic	触媒
Archmage	大魔術師
Amascut	アマスカット
Tumeken	ツメケン
Elidinis	エリディニス
Apmeken	アプメケン
Scabaras	スカラバス
Arena	アリーナ
Duel	決闘
Het	ヘット
Orb	オーブ
Baboon	ヒヒ
Brawler	暴れ者
Volatile	不安定な
Thrall	スロール
Warden	監視者
Zebak	ゼバック
Ba-Ba	バーバ
Kephri	ケフリ
Akkha	アクハ
